Name,Category,Pandemic,Start_Year,End_Year,Duration,Death,Confirmed_Case,Population,Case_Fatality_Rate,Mortality_Rate,Infection_Rate,AG_Infant,AG_Children,AG_Young_Adult,AG_Mid_Age,AG_Old,Country_Region
Brazilian Plagues of 1899–1988,Plague,No,1900,1903,3.979680365,609,6000,,0.1015,,,,,,,,Brazil
Brazilian Plagues of 1899–1988,Plague,No,1935,1949,14.99885845,815,2973,,0.274133872,,,,,,,,Brazil
Brazilian Plagues of 1899–1988,Plague,No,1935,1949,14.99885845,890,3125,,0.2848,,,,,,,,Brazil
Brazilian Smallpox Epidemic of 1660,Smallpox,No,1660,1660,0.998858447,,44000,,0.9,,,,,,,,Brazil
Brazilian Smallpox Epidemic of 1665–66,Smallpox,No,1665,1666,1.998858447,,,,,,,,,,,,Brazil
Brazilian Smallpox Epidemic of 1878,Smallpox,No,1878,1878,0.998858447,56791,,,,,,,,,,,Brazil
Brazilian Smallpox Epidemic of 1905,Smallpox,No,1905,1905,0.998858447,3800,,,,,,,,,,,Brazil
Brazilian Smallpox Epidemic of 1967–71,Smallpox,No,1967,1967,0.998858447,,1492,,,,,,,,,,Brazil
British Cholera Epidemic of 1832,Cholera,No,1831,1832,1.248858447,31000,,,,,,,,,,,UK
British Cholera Epidemics of 1848–49 and 1853–54,Cholera,No,1848,1849,1.998858447,58000,,,,,,,,,,,UK
British Cholera Epidemics of 1848–49 and 1853–54,Cholera,No,1853,1854,1.998858447,31000,,,,,,,,,,,UK
British Cholera Epidemic of 1865–66,Cholera,No,1865,1866,1.998858447,15000,,,,,,,,,,,UK
British Columbian Typhoid Epidemics of 1908–13,Typhoid,No,1908,1913,5.998858447,,226,,0.10095498,,,,,,,,Canada
British Encephalitis Epidemic of 1919–31,Encephalitis,No,1919,1931,12.99885845,2373,4380,,0.5,,,,,,,,UK
British Influenza Epidemic of 1918–19,Influenza,No,1918,1919,1.079452055,200000,,,,,,,,,,,UK
British Influenza Epidemic of 1950–51,Influenza,No,1950,1951,0.188584475,50000,,,,,,,,,,,UK
British Influenza Epidemic of 1957–58,Influenza,No,1957,1958,0.573972603,16000,12000000,,0.001333333,,,,,,,,UK
British Influenza Epidemic of 1968–70,Influenza,No,1968,1969,0.498858447,30000,,,,,,,,,,,UK
British “Legionnaires’ Disease” Outbreak of 2002,Legionnaire’s disease (LD),No,2002,2002,0.165525114,7,330,,0.125,,,,,,,,UK
British “Mad Cow” Disease Outbreak,Creutzfeldt-Jakob disease (vCJD),No,1986,2006,20.99885845,1132,2065,,0.548184019,,,,,,,,UK
British Mumps Epidemic of 2004–06,Mumps,No,2004,2006,2.998858447,,56390,,,,,,,,,,UK
British Smallpox Epidemic of 1796,Smallpox,No,1796,1796,0.998858447,35000,,,,,,,,,,,UK
British Smallpox Epidemic of 1816–19,Smallpox,No,1816,1819,3.998858447,5000,,,,,,,,,,,UK
British Smallpox Epidemic of 1837–40,Smallpox,No,1837,1840,3.498858447,42000,,,,,,,,,,,UK
British Smallpox Epidemic of 1871–72,Smallpox,No,1871,1874,3.998858447,51500,,,,,,,,,,,"UK, Ireland"
British Smallpox Epidemic of 1901–02,Smallpox,No,1901,1902,1.998858447,2700,,,,,,,,,,,UK
British Typhoid Epidemic in the Boer War,Typhoid,No,1899,1902,3.998858447,13000,77000,733333.3333,0.139047619,0.017727273,0.105,,,,,,South Africa
Burmese Dengue Hemorrhagic Fever Epidemics of 1970 and 1971,Dengue,No,1970,1971,1.998858447,121,2659,,0.045505829,,,,,,,,Burma
Burundian Meningitis Epidemic of 1992,cerebrospinal meningitis (CSM),No,1992,1992,0.165525114,215,1239,,0.173527038,,,,,,,,Burundi
Cádiz Yellow Fever Epidemic of 1800,Yellow Fever,No,1800,1800,0.415525114,7950,,56785.71429,,0.14,,,,,,,Spain
Cádiz Yellow Fever Epidemic of 1810,Yellow Fever,No,1810,1810,0.332191781,2788,,,,,,,,,,,Spain
Cairo and Alexandria Diphtheria Epidemics of 1882–86,Diphtheria,No,1882,1886,4.998858447,3500,,605000,0.48,0.005785124,,,,,,,Egypt
Calcutta Smallpox Epidemics of the 1800s,Smallpox,No,1832,1833,1.998858447,2814,,,,,,,,,,,India
Calcutta Smallpox Epidemics of the 1800s,Smallpox,No,1837,1838,1.998858447,1548,,,,,,,,,,,India
Calcutta Smallpox Epidemics of the 1800s,Smallpox,No,1843,1844,1.998858447,2949,,,,,,,,,,,India
Calcutta Smallpox Epidemics of the 1800s,Smallpox,No,1849,1850,1.998858447,6431,,387398,,0.016600499,,,,,,,India
Calcutta Smallpox Epidemics of the 1800s,Smallpox,No,1857,1857,0.998858447,3177,,,,,,,,,,,India
Calcutta Smallpox Epidemics of the 1800s,Smallpox,No,1865,1865,0.998858447,4923,,,,,,,,,,,India
Calcutta Smallpox Epidemics of the 1800s,Smallpox,No,1894,1895,1.998858447,2220,,,,,,,,,,,India
Cambridge Typhus Epidemic of 1522 (Black Assize),Typhus,No,1522,1522,0.998858447,,,,,,,,,,,,UK
Canadian Cholera Epidemics of 1832 and 1834,Cholera,No,1832,1834,2.998858447,25000,,,,,,,,,,,Canada
Canadian Cholera Epidemic of 1849,Cholera,No,1849,1849,0.998858447,,,,,,,,,,,,Canada
Canadian Cholera Epidemic of 1854,Cholera,No,1854,1854,0.25,5000,,,,,,,,,,,Canada
Canadian Indian Smallpox Epidemic of 1837,Smallpox,No,1837,1838,1.998858447,,,,0.75,,,,,,,,Canada
Canadian Influenza Epidemic of 1918–19,Influenza,No,1918,1919,0.582191781,175000,1000000,,0.175,,,,,,,,Canada
Canadian Measles Epidemic of 1846–47,Measles,No,1846,1847,0.998858447,31,,,,,,,,,,,Canada
"Canadian Smallpox Epidemic, Great",Smallpox,No,1755,1757,2.998858447,520,2750,,0.189090909,,,,,,,,Canada
Canadian Typhus Epidemic of 1847,Typhus,No,1847,1847,0.665525114,14000,,,,,,,,,,,Canada
Cape Colony and Cape Town Smallpox Epidemic of 1713,Smallpox,No,1713,1713,0.998858447,,,,,,,,,,,,South Africa
Cape Colony and Cape Town Smallpox Epidemic of 1755,Smallpox,No,1755,1756,0.933105023,2000,,,,,,,,,,,South Africa
Cape Colony and Cape Town Smallpox Epidemic of 1882–85,Smallpox,No,1882,1885,3.665525114,700,2300,,0.304347826,,,,,,,,South Africa
Caribbean Dengue Epidemics of 1963–64 and 1968–69,Dengue,No,1963,1964,1.998858447,,50000,,,,,,,,,,"Cuba, Hispaniola, Puerto Rico, and Jamaica"
Caribbean HIV/AIDS Epidemic,HIV/AIDS,No,1980,2010,30.99885845,27000,,,,,,,,,,,"Cuba, Hispaniola, Puerto Rico, and Jamaica"
Carthaginian Plague of 396 B.C.,Smallpox,No,396,396,0.998858447,,,,,,,,,,,,Greece
Cava Typhus Epidemic of 1083,Typhus,No,1083,1083,0.162785388,,,,,,,,,,,,Italy
Cayuse Indian Measles Epidemic of 1847,Measles,No,1847,1847,0.998858447,,,,,,,,,,,,USA
Central Asian Cholera Epidemic of 1870–72,Cholera,No,1870,1872,2.998858447,2261,3267,40000,0.692072238,0.056525,0.081675,,,,,,Russia
Chadian Cholera Epidemic of 1971,Cholera,No,1971,1971,0.498858447,2337,8225,,0.284133739,,,,,,,,Chad
Chadian Meningitis Epidemic of 1937–39,cerebrospinal meningitis (CSM),No,1937,1939,2.998858447,6500,10000,,0.65,,,,,,,,Chad
Chadian Sleeping Sickness Epidemic of 1912–40,Sleeping Sickness,No,1912,1940,28.99885845,,,,,0.333333333,,,,,,,Chad
Chadian Smallpox Epidemics of 1922–32,Smallpox,No,1922,1932,10.99885845,8000,40000,180000,0.2,0.033,0.222222222,,,,,,chad
Charles V’s Army Epidemic at Metz,Unknown,No,1552,1553,0.832191781,10000,,75000,,0.133333333,,,,,,,France
Charleston Yellow Fever Epidemic of 1699,Yellow Fever,No,1699,1699,0.29109589,180,,,,,,,,,,,USA
Charleston Yellow Fever Epidemic of 1706,Yellow Fever,No,1706,1706,0.998858447,65,,1300,,0.05,,,,,,,USA
Charleston Yellow Fever Epidemics of 1728 and 1732,Yellow Fever,No,1728,1728,0.998858447,430,,,,,,,,,,,USA
Charleston Yellow Fever Epidemics of 1792–99,Yellow Fever,No,1792,1799,7.498858447,,,,,,,,,,,,USA
Chinese Cholera Epidemic of 1820–22,Cholera,No,1820,1822,2.998858447,,,,,,,,,,,,China
Chinese Cholera Epidemic of 1932,Cholera,No,1932,1932,0.832191781,32000,100000,,0.32,0.074,,,,,,,China
Chinese Cholera Epidemics of 1937–42,Cholera,No,1937,1942,5.412785388,54087,61994,,0.74,,,,,,,,China
Chinese Cholera Epidemic of 1945–46,Cholera,No,1945,1946,1.998858447,,,,0.275,0.1,,,,,,,China
Chinese Dengue Epidemics of 1978–80,Dengue,No,1978,1980,2.998858447,14,22122,,0.000632854,,,,,,,,China
Chinese HIV/AIDS Epidemic,HIV/AIDS,No,1985,2010,25.99885845,,,,,,0.001,,,,,,China
Chinese Influenza Epidemic of 1918,Influenza,No,1918,1918,0.665525114,,,,,0.006,0.5,,,,,,China
Chinese Plague of 1917–18,Plague,No,1917,1918,1.998858447,,16000,,,,,,,,,,China
Chinese Plague of 1931–32,Plague,No,1931,1932,1.998858447,,20000,,,,,,,,,,China
Colombian Smallpox Epidemic of 1776,Smallpox,No,1776,1776,0.998858447,6000,,33170,,0.180886343,,,,,,,Columbia
Congolese Ebola Outbreaks of 2003 and 2005,Ebola,No,2002,2003,0.348173516,166,202,,0.821782178,,,,,,,,Congo
Congolese Sleeping Sickness Epidemic of 1895–1906,African sleeping sickness (African trypanosomiasis),No,1895,1906,11.99885845,500000,,,0.3,,,,,,,,Congo
Connecticut Smallpox Epidemic of 1634,Smallpox,No,1634,1640,6.998858447,,,,0.9,,,,,,,,USA
Constantine Malaria Epidemic of 1941,Malaria,No,1941,1941,0.746118721,7725,192500,220000,0.04,0.035113636,0.875,,,,,,Algeria
Constantinople Plague of c. A.D. 746–748,Plague,No,746,748,2.998858447,,,,,,,,,,,,Turkey
Copenhagen Poliomyelitis Epidemic of 1952,Poliomyelitis,No,1952,1952,0.998858447,,3000,,,,,,,,,,Denmark
"“Cough of Perinthus”, Hippocratic Epidemics",Plague,No,400,400,0.998858447,,,,,,,,,,,,Greece
Cremona Diphtheria Epidemic of 1747–48,Diphtheria,No,1747,1748,1.998858447,1000,,,,,,,,,,,Italy
Crimean War Epidemics,Cholera,No,1854,1856,2.998858447,,,,,,,,,,,,Cremea
Crusader Epidemic at Acre,Scurvy,No,1189,1189,0.415525114,,,,,,,,,,,,Israel
Crusader Epidemic at Adalia,Plague,No,1148,1148,0.998858447,,,,,,,,,,,,Turkey
Crusader Epidemic at Al Mansurah,Scurvy,No,1250,1250,0.25,,,,,,,,,,,,Egypt
Crusader Epidemic at Antioch,Typhoid,No,1098,1098,0.998858447,,,,,,,,,,,,Syria
Crusader Epidemic at Damietta,Scurvy,No,1218,1219,1.248858447,,,,,0.175,,,,,,,Egypt
"Cyprian, Plague of",Measles,No,251,266,15.99885845,,,,,,,,,,,,Mediterranean basin
Dalmatian Plague of 1783–84,Plague,No,1783,1784,1.998858447,1201,,12010,,0.1,,,,,,,Croatia
Dancing Mania,Cholera,No,1374,1374,0.498858447,,,,,,,,,,,,"Germany,France"
Danzig Plague of 1709,Dancing Mania,No,1709,1709,0.582191781,32599,,,,,,,,,,,Poland
Danzig Typhus Epidemic of 1807,Typhus,No,1807,1807,0.248858447,,,,,,,,,,,,Poland
Danzig Typhus Epidemic of 1813,Typhus,No,1813,1813,0.882648402,11645,,,,,,,,,,,Poland
Delhi Hepatitis Epidemic of 1955–56,Hepatitis,No,1955,1956,0.135388128,73,97000,1800000,0.000752577,4.06E-05,0.053888889,,,,,,India
Durban Dengue Epidemic of 1926–27,Dengue,No,1926,1927,1.998858447,,50000,,,,,,,,,,South Africa
Eastern European and Central Asian HIV/AIDS Epidemic,HIV/AIDS,No,1990,1990,0.998858447,,1500000,,,,0.0125,,,,,,Soviet Union
Ecuadoran Plagues of 1908–88,Plague,No,1908,1988,80.99885845,,,,,,,,,,,,Ecuadoran
Edinburgh Plague of 1530,Plague,No,1530,1530,0.998858447,,,,,,,,,,,,Scotland
Edinburgh Plague of 1568–69,Plague,No,1568,1568,0.332191781,2500,,25000,,0.1,,,,,,,Scotland
Edinburgh Plague of 1585,Plague,No,1585,1585,0.665525114,,,,,0.1,,,,,,,Scotland
Edinburgh Plague of 1597,Plague,No,1597,1597,0.998858447,,,,,,,,,,,,Scotland
Egyptian Cholera Epidemic of 1883,Cholera,No,1883,1883,0.998858447,58500,,,,,,,,,,,Egypt
Egyptian Cholera Epidemic of 1902,Cholera,No,1902,1902,0.248858447,42000,,,,,,,,,,,Egypt
Egyptian Cholera Epidemic of 1947,Cholera,No,1947,1947,0.214383562,20474,32978,,0.5,,,,,,,,Egypt
Egyptian Malaria Epidemic of 1942–44,Malaria,No,1942,1944,2.998858447,200000,1000000,,0.2,,,,,,,,Egypt
Egyptian Plague of 1347–49,Plague,No,1347,1349,2.998858447,,,100000,,,,,,,,,Egypt
Egyptian Plague of 1834–35,Plague,No,1834,1835,1.498858447,30000,,,0.33,,,,,,,,Egypt
Egyptian Relapsing Fever Epidemic of 1944–46,Relapsing Fever,No,1944,1946,1.996118721,3295,128541,,0.025633844,,,,,,,,Egypt
Egyptian Rift Valley Fever Epidemic of 1977,Rift Valley Fever (RVF),No,1977,1977,0.248858447,598,18000,,0.033,,,,,,,,Egypt
Egyptian Typhus Epidemic of 1940–45,Typhus,No,1940,1945,5.998858447,20000,110000,,0.2,,,,,,,,Egypt
Encephalitis Lethargica (von Economo’s disease) Epidemic of 1915–26,Encephalitis,No,1915,1926,11.99885845,,,,0.25,,,,,,,,World
"England, Great Plague of",Plague,No,1348,1350,2.582191781,,,,0.9,,,,,1,,,England
English Plagues of the 1400s,Plague,No,1400,1499,99.99885845,,,,,,,,,,,,England
English Plagues of the 1500s,Plague,No,1500,1599,99.99885845,,,,,,,,,,,,England
English Smallpox Epidemic of 1751–53,Smallpox,No,1751,1753,2.082191781,1752,,,0.327586207,,,,,,,,England
English Smallpox Epidemic of 1825–26,Smallpox,No,1825,1826,1.998858447,,,,,,,,,,,,England
English Sweating Sickness (English Sweat) Epidemics,Sweating Sickness,No,1485,1551,66.41552511,10000,,,,,,,,,,,England
English Typhus Epidemic of 1816–19,Typhus,No,1816,1819,3.998858447,450,,,,,,,,,,,British Isle
English Typhus Epidemic of 1837–38,Typhus,No,1837,1838,1.498858447,28000,,,,,,,,,,,British Isle
English Typhus Epidemic of 1847–48,Typhus,No,1847,1858,11.74611872,30000,,,,,,,,,,,British Isle
Ethiopian Cholera Epidemic of 1889–1902,Cholera,No,1889,1902,13.99885845,,,,0.83390411,,,,,,,,Ethiopia
Ethiopian Influenza Epidemic of 1918–19,Influenza,No,1918,1919,0.407305936,12000,,,,,,,,,,,Ethiopia
Ethiopian Malaria Epidemic of 1958,Malaria,No,1958,1958,0.498858447,175000,3500000,,0.25,,0.15,1,1,,,,Ethiopia
Ethiopian Smallpox Epidemics of 1886–98,Smallpox,No,1886,1898,12.99885845,,,,,,,,,,,,Ethiopia
Ethiopian Typhus Epidemic of 1876,Typhus,No,1876,1876,0.248858447,5000,,,,,,,,,,,Ethiopia
Ethiopian Yellow Fever Epidemic of 1960–62,Yellow Fever,No,1960,1962,2.998858447,30000,,1000000,,0.03,,,,1,1,,Ethiopia
European Diphtheria Epidemic of the Late 1850s,Diphtheria,No,1855,1859,4.998858447,,,,,0.000517,,,,,,,Europe
"European Influenza Epidemics of 1708–09, 1712, 1729–30, and 1732–33",Influenza,No,1708,1733,25.99885845,,,,,,,,,,,,Europe
European Influenza Epidemics of 1742–43 and 1762,Influenza,No,1742,1743,1.998858447,,,,,,,,,,,,Europe
European Influenza Pandemic of 1781–82,Influenza,Yes,1781,1782,1.998858447,,,,,,,,,,,,Europe
European Influenza Pandemic of 1788–89,Influenza,Yes,1788,1789,1.832191781,,,,,,0.5,,,,,1,Europe
European Influenza Pandemic of 1833,Influenza,Yes,1833,1833,0.998858447,,,,,,,,,,,,Europe
European Influenza Pandemic of 1847–48,Influenza,Yes,1847,1848,1.998858447,14756,,,,,0.375,,,,,,Europe
European Influenza Pandemic of 1889–90,Influenza,Yes,1889,1890,1.998858447,315000,,,,0.000875,0.42,,,1,1,,Europe
European Malaria Epidemic of 1678–82,Malaria,No,1678,1682,4.998858447,,,,,,,,,,,,Europe
European Malaria Epidemics of 1805–12 and 1823–27,Malaria,No,1805,1812,7.998858447,3000,,,0.375,0.1,,,,,,,Europe
European Smallpox Pandemic of 1870–75,Smallpox,Yes,1870,1875,5.998858447,500000,,,,,,1,1,,,,Europe
"European Sweating Sickness Epidemics, Northern",English Sweat,No,1529,1529,0.433105023,10000,,,,,,,,1,,,Europe
Exeter Typhus Epidemic of 1586,Typhus,No,1586,1586,0.785616438,,,,,,,,,,,,England
Faeroe (Faroe) Islands Measles Epidemic of 1846,Measles,No,1846,1846,0.758219178,,6000,7782,,,0.771010023,,,,,,Faeroe (Faroe) Islands
Fiji Islands Dengue Epidemics of 1971–73,Dengue,No,1971,1973,2.832191781,,3111,,,,,,,,,,Fiji
Fiji Islands Dengue Epidemics of 1975,Dengue,No,1975,1975,0.582191781,12,,,,,0.5,,1,1,,,Fiji
Fiji Islands Epidemics of the Late 1700s and Early 1800s,Influenza,No,1791,1792,1.998858447,,,,,,,,,,,,Fiji
Fiji Islands Measles Epidemics of 1875,Measles,No,1875,1875,0.998858447,40000,150000,150000,0.225,0.225,1,1,,,,1,Fiji
Fiji Islands Measles Epidemics of 1903,Measles,No,1903,1903,0.998858447,1800,,,,,,1,1,1,,,Fiji
Fiji Islands Measles Epidemics of 1911,Measles,No,1911,1911,0.998858447,326,,2226,,0.15,,,,,,,Fiji
Finnish Ergotism Epidemics of the 1800s,Ergotism,No,1836,1871,35.99885845,,1400,,0.127,,,1,1,,,,Finland
Florence Dysentery Epidemic of 1425,Dysentery,No,1425,1425,0.415525114,,500,,,,,1,1,,,,Italy
Florence Plague of 1347–48,Plague,No,1347,1348,0.583333333,,,,1,0.6,,,,,,,Italy
Florence Plague of 1417,Plague,No,1417,1417,0.998858447,4000,,40000,,0.1,,,,,,,Italy
Florence Plague of 1430,Plague,No,1430,1430,0.998858447,2250,,,,,,1,1,,,,Italy
Florence Plague of 1630–33,Plague,No,1630,1633,3.998858447,7000,,,,0.1,,,,,,,Italy
French Army Syphilis Epidemic of 1494–95,Syphilis,No,1494,1495,1.248858447,,,,,,,,,,,,Italy
French Army Typhus Epidemic of 1528,Typhus,No,1528,1528,0.998858447,17000,,,,0.607142857,,,,,,,Italy
French Cholera Epidemic of 1832–33,Cholera,No,1832,1833,1.755479452,100000,,,0.375,,,,,,,,France
French Cholera Epidemics of 1848–49,Cholera,No,1848,1849,1.998858447,150000,,,,,,,,,,,France
"French Cholera Epidemics of 1853–54,",Cholera,No,1853,1854,1.998858447,150000,,,,,,,,,,,France
French Cholera Epidemics of 1865–66,Cholera,No,1865,1866,1.998858447,,,,,,,,,,,,France
French Dysentery Epidemic of 1738–42,Dysentery,No,1738,1742,4.998858447,30000,,,,,,,,,,,France
French Dysentery Epidemic of 1779,Dysentery,No,1779,1779,0.998858447,175000,,,,,,,,,,,France
French Influenza Epidemic of 1740,Influenza,No,1740,1740,0.496118721,2057,,,,,,,,,,,France
French Miliary Fever Epidemics of the 1800s,Sweating Sickness,No,1821,1826,5.998858447,,,,0.17,,,,,1,1,,France
French Plagues of 1450–1520,Plague,No,1450,1520,70.99885845,,,,,,,,,,,,France
French Plagues of 1520–1600,Plague,No,1520,1600,80.99885845,,,,,,,,,,,,France
French Plagues of 1625–40,Plague,No,1625,1640,15.99885845,,,,,,,,,,,,France
French Polynesian Measles Epidemic of 1854,Measles,No,1854,1854,0.998858447,750,,,,,,,,,,,French Polynesia
French Polynesian Measles Epidemic of 1950–51,Measles,No,1950,1951,1.998858447,,,,,,,1,1,1,,,French Polynesia
French Typhus and Typhoid Epidemics of 1740–42,Typhus,No,1740,1742,2.998858447,55000,,,,,,,,,,,France
French Typhus Epidemics of 1813–14,Typhus,No,1813,1814,1.998858447,11100,,,,,,,,,,,France
